Comment,Center-X(mil),Center-Y(mil),Layer,Designator,Rotation
AO3400A,"2,417,323","2,625,984",BottomLayer,Q2,270
10k 0402,"3,000,000","2,826,772",TopLayer,R1,0
137k 0402,"2,472,441","2,472,441",BottomLayer,R2,270
10k 0402,"2,937,008","2,826,772",TopLayer,R3,0
137k 0402,"2,472,441","2,535,433",BottomLayer,R4,270
14k 0402,"3,068,898","2,805,118",TopLayer,R5,180
10k 0402,"2,874,016","2,826,772",TopLayer,R6,180
10k 0402,"3,068,898","2,769,685",TopLayer,R7,0
768k 0402,"3,307,087","3,389,764",BottomLayer,R8,90
137k 0402,"3,323,819","3,437,008",BottomLayer,R9,180
30.9K 0402,"3,480,315","2,429,134",BottomLayer,R10,225
10k 0402,"3,523,622","2,472,441",BottomLayer,R11,225
10k 0402,"3,421,260","3,453,740",BottomLayer,R12,90
1.62M 0402,"3,307,087","3,074,803",BottomLayer,R13,270
180K 0402,"3,323,819","3,122,047",BottomLayer,R14,180
0R 0402,"2,759,842","3,188,976",BottomLayer,R15,180
DNP 0402,"2,759,842","3,149,606",BottomLayer,R16,0
10k 0402,"2,346,457","3,468,504",TopLayer,R17,0
10k 0402,"2,346,457","3,433,071",TopLayer,R18,0
2K 0402,"2,874,016","3,267,716",BottomLayer,R20,270
5.1K 0402,"2,704,724","3,177,165",BottomLayer,R21,90
22R 0402,"2,673,228","3,952,756",TopLayer,R22,90
22R 0402,"2,482,284","3,531,496",TopLayer,R23,270
10k 0402,"2,704,724","3,114,173",BottomLayer,R24,270
22R 0402,"2,637,795","3,952,756",TopLayer,R25,90
22R 0402,"3,078,740","3,059,055",BottomLayer,R26,270
10k 0402,"3,043,307","3,059,055",BottomLayer,R27,270
1K 0402,"2,787,401","3,437,008",TopLayer,R28,0
1K 0402,"2,787,401","3,401,575",TopLayer,R29,180
5.1K 0402,"2,082,677","2,582,677",BottomLayer,R30,180
10k 0402,"2,145,669","2,582,677",BottomLayer,R31,180
1K 0402,"2,787,401","3,366,142",TopLayer,R32,180
5.1K 0402,"2,385,827","2,720,472",BottomLayer,R33,180
10k 0402,"2,448,819","2,720,472",BottomLayer,R34,180
10k 0402,"2,291,339","3,625,000",TopLayer,R35,270
DNP 0402,"2,781,496","3,690,945",TopLayer,R36,0
10k 0402,"2,781,496","3,690,945",BottomLayer,R37,180
10k 0402,"3,543,307","3,752,953",TopLayer,R38,90
DNP 0402,"3,464,567","3,690,945",BottomLayer,R39,180
10k 0402,"3,464,567","3,657,480",BottomLayer,R40,0
10k 0402,"2,562,992","3,153,543",TopLayer,R41,180
DNP 0402,"2,562,992","3,188,976",TopLayer,R42,180
10k 0402,"2,405,512","3,173,228",BottomLayer,R43,270
DNP 0402,"2,488,189","3,192,913",BottomLayer,R44,180
DNP 0402,"2,488,189","3,157,480",BottomLayer,R45,180
10k 0402,"2,346,457","3,122,047",BottomLayer,R46,0
10k 0402,"2,551,181","3,192,913",BottomLayer,R47,180
10k 0402,"2,551,181","3,157,480",BottomLayer,R48,180
DNP 0402,"2,346,457","3,086,614",BottomLayer,R49,180
2.43K 0402,"2,346,457","3,192,913",BottomLayer,R50,0
2.43K 0402,"2,346,457","3,157,480",BottomLayer,R52,0
2.43K 0402,"2,342,520","3,027,559",TopLayer,R56,180
